LULC,NAME,HABITAT,PS,SY,SC,RC,CT,TC,CF,CI,PO,PC,FP,MU,UR,MI,NV,AQ,VL,LT,MT,HT,RR,WF
3,FR,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
4,SV,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
5,MG,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
6,FL,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
49,WS,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
11,WE,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
12,GR,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
32,SF,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
29,RO,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
50,HS,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
13,NF,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
23,SD,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,W,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
15,PS,0.955,0.141,0.141,0.141,0.141,0.141,0.141,0.136,0.139,0.141,0.139,0.141,0.132,0.141,0.141,0.139,0.141,0.135,0.141,0.141,0.141,0.141,0.136
39,SY,0.555,0.501,0.501,0.501,0.501,0.501,0.501,0.46,0.482,0.501,0.482,0.501,0.42,0.501,0.501,0.486,0.501,0.442,0.501,0.501,0.501,0.501,0.46
20,SC,0.655,0.411,0.411,0.411,0.411,0.411,0.411,0.379,0.397,0.411,0.397,0.411,0.348,0.411,0.411,0.4,0.411,0.365,0.411,0.411,0.411,0.411,0.379
40,RC,0.6,0.46,0.46,0.46,0.46,0.46,0.46,0.424,0.444,0.46,0.444,0.46,0.388,0.46,0.46,0.447,0.46,0.408,0.46,0.46,0.46,0.46,0.424
62,CT,0.6,0.46,0.46,0.46,0.46,0.46,0.46,0.424,0.444,0.46,0.444,0.46,0.388,0.46,0.46,0.447,0.46,0.408,0.46,0.46,0.46,0.46,0.424
41,TC,0.765,0.312,0.312,0.312,0.312,0.312,0.312,0.29,0.302,0.312,0.302,0.312,0.269,0.312,0.312,0.304,0.312,0.281,0.312,0.312,0.312,0.312,0.29
46,CF,0.7,0.37,0.37,0.37,0.37,0.37,0.37,0.343,0.358,0.37,0.358,0.37,0.316,0.37,0.37,0.361,0.37,0.331,0.37,0.37,0.37,0.37,0.343
47,CI,0.7,0.37,0.37,0.37,0.37,0.37,0.37,0.343,0.358,0.37,0.358,0.37,0.316,0.37,0.37,0.361,0.37,0.331,0.37,0.37,0.37,0.37,0.343
35,PO,0.755,0.321,0.321,0.321,0.321,0.321,0.321,0.298,0.311,0.321,0.311,0.321,0.276,0.321,0.321,0.313,0.321,0.289,0.321,0.321,0.321,0.321,0.298
48,PC,0.755,0.321,0.321,0.321,0.321,0.321,0.321,0.298,0.311,0.321,0.311,0.321,0.276,0.321,0.321,0.313,0.321,0.289,0.321,0.321,0.321,0.321,0.298
9,FP,0.755,0.321,0.321,0.321,0.321,0.321,0.321,0.298,0.311,0.321,0.311,0.321,0.276,0.321,0.321,0.313,0.321,0.289,0.321,0.321,0.321,0.321,0.298
21,MU,0.955,0.141,0.141,0.141,0.141,0.141,0.141,0.136,0.139,0.141,0.139,0.141,0.132,0.141,0.141,0.139,0.141,0.135,0.141,0.141,0.141,0.141,0.136
24,UR,0.955,0.141,0.141,0.141,0.141,0.141,0.141,0.136,0.139,0.141,0.139,0.141,0.132,0.141,0.141,0.139,0.141,0.135,0.141,0.141,0.141,0.141,0.136
30,MI,0.1,0.91,0.91,0.91,0.91,0.91,0.91,0.829,0.874,0.91,0.874,0.91,0.748,0.91,0.91,0.882,0.91,0.793,0.91,0.91,0.91,0.91,0.829
25,NV,0.727,0.346,0.346,0.346,0.346,0.346,0.346,0.321,0.335,0.346,0.335,0.346,0.297,0.346,0.346,0.337,0.346,0.31,0.346,0.346,0.346,0.346,0.321
31,AQ,0.8,0.28,0.28,0.28,0.28,0.28,0.28,0.262,0.272,0.28,0.272,0.28,0.244,0.28,0.28,0.274,0.28,0.254,0.28,0.28,0.28,0.28,0.262
100,VL,0.755,0.321,0.321,0.321,0.321,0.321,0.321,0.298,0.311,0.321,0.311,0.321,0.276,0.321,0.321,0.313,0.321,0.289,0.321,0.321,0.321,0.321,0.298
101,LT,0.81,0.271,0.271,0.271,0.271,0.271,0.271,0.254,0.263,0.271,0.263,0.271,0.237,0.271,0.271,0.265,0.271,0.246,0.271,0.271,0.271,0.271,0.254
102,MT,0.61,0.451,0.451,0.451,0.451,0.451,0.451,0.416,0.435,0.451,0.435,0.451,0.381,0.451,0.451,0.439,0.451,0.4,0.451,0.451,0.451,0.451,0.416
103,HT,0.2,0.82,0.82,0.82,0.82,0.82,0.82,0.748,0.788,0.82,0.788,0.82,0.676,0.82,0.82,0.795,0.82,0.716,0.82,0.82,0.82,0.82,0.748
104,RR,0.555,0.501,0.501,0.501,0.501,0.501,0.501,0.46,0.482,0.501,0.482,0.501,0.42,0.501,0.501,0.486,0.501,0.442,0.501,0.501,0.501,0.501,0.46
105,WF,0.655,0.411,0.411,0.411,0.411,0.411,0.411,0.379,0.397,0.411,0.397,0.411,0.348,0.411,0.411,0.4,0.411,0.365,0.411,0.411,0.411,0.411,0.379
27,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
